"lecture theatre", "lt"
"engineering product development", "epd"
"graduate studies centre", "gsc"
"think tank", "tt"
"cohort classroom", "cc"
"humanities, arts, and social sciences", "hass"
"information systems technology and design", "istd"
"industrial design", "ider"
"architecture and sustainable design", "asd"
"learning environment for experimental technology", "leet"
"singapore university of technology and design", "sutd"
"singapore management university", "smu"
"engineering systems and design", "esd"
"digital manufacturing and design", "dmand"
"information technology", "it"
"digital systems", "ds"
"opportunity", "o"
"opportunity laboratory", "o-lab"
"innovative digital arts", "idia"
"temasek laboratories", "tl"
"lee kuan yew", "lky"
"lee kuan yew centre for innovative cities", "lkycic"
"zhejiang university", "zju"
"design and research in extreme systems", "dares"
"three-dimensional", "3d"
"fire command centre", "fcc"
"facilities management", "fm"
"career development centre", "cdc"
"student activity centre", "sac"
"at", "@"
"–", " "
"–", "and"
